TableName,Columns
DataStudio_ServiceTree_AzureSubscription_Log,"[""; ChangeVersion; ChangeOperation; Id; SubscriptionId; SubscriptionName; ServiceId; ServiceLevel; ServiceName; AzureCloud; Environment; IsHostedOnBehalfOf; Notes; Created; CreatedBy; Modified; ModifiedBy""]"
DataStudio_ServiceTree_Hierarchy_Log,"[""; ChangeVersion; ChangeOperation; Id; Level; Name; DivisionName; DivisionId; OrganizationName; OrganizationId; ServiceGroupName; ServiceGroupId; TeamGroupName; TeamGroupId; ServiceName; ServiceId; MicroServiceName; MicroServiceId; ComponentName; ComponentId; Description; Tags; Created; CreatedBy; Modified; ModifiedBy""]"
DataStudio_ServiceTree_OrganizationCommonMetadata_Log,"[""; ChangeVersion; ChangeOperation; OrganizationId; OrganizationLevel; OrganizationName; BusinessOwner""]"
DataStudio_ServiceTree_OrganizationMetadata_Log,"[""; ChangeVersion; ChangeOperation; Id; OrganizationId; OrganizationLevel; OrganizationName; Type; Value; Created; CreatedBy; Modified; ModifiedBy""]"
DataStudio_ServiceTree_ServiceCommonMetadata_Log,"[""; ChangeVersion; ChangeOperation; ServiceId; ServiceLevel; ServiceName; DevOwner; PMOwner; Admins; ServiceType""]"
DataStudio_ServiceTree_ServiceCommonMetadataPerCloud_Log,"[""; ChangeVersion; ChangeOperation; AzureCloud; ServiceId; ServiceLevel; ServiceName; Lifecycle""]"
ServiceTreePpe_MetadataDefinition_Log_Bk,"[""; ChangeVersion; ChangeOperation; Id; Status; IsComplex; IsMultipleAllowed; IsPerCloud; Discriminator; Type; Permission; Tags; JsonSchema; InternalId; OwningServiceInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_MetadataDefinition_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; IsComplex; IsMultipleAllowed; IsPerCloud; Discriminator; Type; Permission; Tags; JsonSchema; InternalId; OwningServiceInternalId; Created; CreatedBy; Modified; ModifiedBy; IsValueUnique; DisplayOrder; AllowEmptyValue; IsServiceDeleteBlocker; DeprovisioningWiki; DeprovisioningContactAlias; ApplicableLevel; AuthorizedRoles""]"
ServiceTreePpe_OrganizationMetadata_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; Value; OrganizationInternalId; MetadataDefinitionInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_OfferingToService_Log,"[""; ChangeVersion; ChangeOperation; OfferingId; ServiceId""]"
