TableName,Columns
WorkItem,"[""; OrganizationName; WorkItemId; Rev; WorkItemType; TeamProject; Title; Tags; AreaId; AreaPath; AssignedToDisplayName; AssignedToId; AssignedToIsContainer; AssignedToName; AssignedToUniqueName; AttachedFileCount; AuthorizedAsDisplayName; AuthorizedAsId; AuthorizedAsIsContainer; AuthorizedAsUniqueName; AuthorizedDate; BoardColumn; BoardColumnDone; BoardLane; ChangedByDisplayName; ChangedById; ChangedByIsContainer; ChangedByName; ChangedByUniqueName; ChangedDate; CreatedByDisplayName; CreatedById; CreatedByIsContainer; CreatedByName; CreatedByUniqueName; CreatedDate; Description; ExternalLinkCount; History; HyperLinkCount; IsDeleted; IterationId; IterationPath; NodeName; PersonId; Reason; RelatedLinkCount; RevisedDate; State; Watermark; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
Release,"[""; OrganizationName; ProjectId; ReleaseId; EtlProcessDate; ReleaseName; CreatedByDisplayName; CreatedById; CreatedByIsContainer; CreatedByUniqueName; CreatedOn; DefinitionSnapshotRevision; Description; KeepForever; ModifiedByDisplayName; ModifiedById; ModifiedByIsContainer; ModifiedByUniqueName; ModifiedOn; Reason; ReleaseDefinitionId; ReleaseDefinitionName; ReleaseDefinitionPath; ReleaseNameFormat; Status; Variables; Data; EtlMetadata; EtlIngestDate""]"
Build,"[""; OrganizationName; ProjectId; BuildId; EtlProcessDate; DefinitionId; RepositoryId; BuildNumber; BuildNumberRevision; DefinitionName; DefinitionPath; DefinitionProjectId; DefinitionProjectName; DefinitionProjectRevision; DefinitionProjectState; DefinitionRevision; DefinitionType; QueueTime; StartTime; FinishTime; KeepForever; LastChangedByDisplayName; LastChangedById; LastChangedByIsContainer; LastChangedByUniqueName; LastChangedDate; LogsId; LogsType; OrchestrationPlanId; Parameters; PlanId; Priority; ProjectName; ProjectRevision; ProjectState; QueueId; QueueName; QueuePoolId; QueuePoolName; Reason; RepositoryCheckoutSubmodules; RepositoryType; RequestedByDisplayName; RequestedById; RequestedByIsContainer; RequestedByUniqueName; RequestedForDisplayName; RequestedForId; RequestedForIsContainer; RequestedForUniqueName; Result; RetainedByRelease; SourceBranch; SourceVersion; Status; Tags; Uri; ValidationResults; EtlMetadata; Data; EtlIngestDate""]"
WorkItemRevision,"[""; OrganizationName; WorkItemId; Rev; EtlProcessDate; WorkItemType; TeamProject; Title; Tags; AreaId; AreaPath; AssignedToDisplayName; AssignedToId; AssignedToIsContainer; AssignedToName; AssignedToUniqueName; AttachedFileCount; AuthorizedAsDisplayName; AuthorizedAsId; AuthorizedAsIsContainer; AuthorizedAsUniqueName; AuthorizedDate; BoardColumn; BoardColumnDone; BoardLane; ChangedByDisplayName; ChangedById; ChangedByIsContainer; ChangedByName; ChangedByUniqueName; ChangedDate; CreatedByDisplayName; CreatedById; CreatedByIsContainer; CreatedByName; CreatedByUniqueName; CreatedDate; Description; ExternalLinkCount; History; HyperLinkCount; IsDeleted; IterationId; IterationPath; NodeName; PersonId; Reason; RelatedLinkCount; RevisedDate; State; Watermark; Data; EtlMetadata; EtlIngestDate; EtlCurrent""]"
LanguageMetric,"[""; OrganizationName; ProjectId; RepositoryId; RepositoryName; ResultPhase; UpdateTime; LanguageName; Files; FilesPercentage; LanguagePercentage; Bytes; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
EnterpriseRequirementAssessmentGroup,"[""; OrganizationName; ScopeId; AssessmentGroupId; AssessmentGroupName; QuestionId; Question; Answer; CreatedDateTime; DueDate; GraphVersion; HasActiveAssessment; IsCustomDueDate; LastModifiedDate; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
EnterpriseRequirementAssessment,"[""; OrganizationName; ScopeId; AssessmentGroupId; AssessmentId; AssessmentName; QuestionId; Answer; PolicyName; PolicyNodeId; CreatedBy; CreatedDateTime; GraphVersion; IsActive; LastModifiedDate; LastSessionActivitiesChanged; LastSessionSessionId; UserId; QueryCriteriaTags; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
EnterpriseRequirementScope,"[""; OrganizationName; ScopeId; ScopeName; AuthorOnlyWriteAccess; CreatedBy; CreatedDateTime; Description; HasActiveAssessment; LastModifiedDate; ServiceGroupName; UserId; IsInterrupted; ExtendedProperties; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
EnterpriseRequirementSession,"[""; OrganizationName; SessionId; ScopeId; SessionName; State; AreaPath; AssessmentId; AssignedTo; AssignedToUserDisplayName; AssignedToUserId; AssignedToUserMail; ClientType; Comments; CreatedDateTime; FailureMessage; GeneratedByDisplayName; GeneratedById; GeneratedByMail; GraphVersion; IterationPath; LastModifiedDate; ServerUrl; WitConfig; WitConfigId; WorkItemUrl; ExtendedProperties; ApplicabilityTags; WorkItems; ExcludedActivityNodeIds; Tags; AutoApplicabilityFields; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
ServiceEndPoint,"[""; OrganizationName; ProjectId; ServiceEndPointId; ServiceEndPointName; Description; Type; Url; AdministratorsGroupId; AuthorizationScheme; CreatedByDisplayName; CreatedById; CreatedByUniqueName; GroupScopeId; IsReady; OperationStatusState; OperationStatusStatusMessage; ReadersGroupId; IsShared; Owner; ProjectReferences; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
PullRequestLabel,"[""; OrganizationName; ProjectId; RepositoryId; PullRequestId; Name; EtlProcessDate; Active; EtlMetadata; EtlIngestDate""]"
